Size,Threads,Time,Sp

20000,1,0.614727,1
20000,2,0.315183,1.95038
20000,4,0.165655,3.71089
20000,8,0.089314,6.88276
20000,16,0.0478959,12.8346
20000,20,0.078047,7.87637
20000,40,0.057945,10.6088
40000,1,2.54439,1
40000,2,1.30712,1.94657
40000,4,0.703273,3.61793
40000,8,0.369733,6.8817
40000,16,0.234873,10.833
40000,20,0.171497,14.8363
40000,40,0.151098,16.8393
