Size,Threads,Time,Sp
20000,1,2.95737,1
20000,2,1.44832,2.0419309999999999
20000,4,0.892023,3.315352000000000
20000,8,0.439469,6.7294169999999998
20000,16,0.415752,7.113303000000000
20000,20,0.3333,8.872997000000000
20000,40,0.20186,14.650599000000000
40000,1,11.5122,1
40000,2,5.75692,1.99971512544902486
40000,4,2.95242,3.89924197776739057
40000,8,1.64964,6.97861351567614729
40000,16,1.08239,10.63590757490368510
40000,20,0.954522,12.06069634853884942
40000,40,0.745437,15.44355861058680901

