MatrixSize,Threads,T_p(ms),Speedup
20000,1,7687,1
20000,2,3850,1.99662
20000,4,1932,3.97878
20000,7,1122,6.85116
20000,8,999,7.69469
20000,16,635,12.1055
20000,20,614,12.5195
20000,40,387,19.863
40000,1,30835,1
40000,2,15431,1.99825
40000,4,7669,4.02073
40000,7,4383,7.03514
40000,8,4059,7.5967
40000,16,2319,13.2967
40000,20,2306,13.3716
40000,40,1556,19.8168
